
name,pt,rt,size
1,1,5,4
2,3,2,7
3,18,7,4
4,7,5,6
5,18,9,7
6,15,1,6
7,17,6,8
8,8,4,9
9,4,8,6
10,18,2,9
name,pt,rt,size
1,16,7,10
2,15,3,7
3,4,7,9
4,18,3,10
5,9,3,9
6,10,7,8
7,15,3,7
8,1,7,4
9,12,3,9
10,13,4,4
name,pt,rt,size
1,4,13,6
2,17,12,8
3,10,14,8
4,3,11,7
5,8,4,6
6,15,3,4
7,3,2,7
8,14,14,8
9,16,6,7
10,12,9,7
name,pt,rt,size
1,4,5,4
2,2,9,4
3,5,14,4
4,16,11,4
5,12,5,4
6,10,5,7
7,19,2,13
8,11,4,10
9,5,9,13
10,18,5,12
name,pt,rt,size
1,18,6,7
2,29,2,8
3,16,9,6
4,20,1,9
5,25,3,5
6,27,2,7
7,2,7,9
8,19,6,4
9,27,3,8
10,5,1,6
name,pt,rt,size
1,4,8,11
2,5,1,12
3,9,8,7
4,19,1,12
5,5,1,9
6,14,7,8
7,11,8,10
8,20,4,8
9,21,9,7
10,17,5,13
name,pt,rt,size
1,10,12,8
2,26,12,7
3,12,5,8
4,10,11,9
5,28,6,5
6,4,1,6
7,15,6,5
8,28,11,5
9,13,5,4
10,23,11,4
name,pt,rt,size
1,2,14,7
2,27,14,13
3,13,7,7
4,22,2,5
5,2,12,13
6,2,14,12
7,28,14,5
8,7,8,13
9,15,13,11
10,12,12,13
name,pt,rt,size
1,8,8,7
2,16,4,5
3,2,5,4
4,3,4,4
5,11,4,6
6,9,2,8
7,8,6,5
8,2,6,7
9,1,8,7
10,8,4,6
name,pt,rt,size
1,3,7,4
2,15,4,5
3,9,8,10
4,18,3,13
5,10,9,5
6,18,7,10
7,19,2,10
8,17,6,11
9,2,3,10
10,3,6,12
name,pt,rt,size
1,8,9,9
2,18,8,8
3,10,6,6
4,13,13,6
5,13,10,8
6,9,9,5
7,6,9,8
8,4,13,5
9,2,8,8
10,18,2,5
name,pt,rt,size
1,3,1,10
2,15,2,6
3,10,9,4
4,3,9,7
5,13,12,5
6,14,4,7
7,13,1,12
8,16,8,5
9,5,1,4
10,14,3,12
name,pt,rt,size
1,18,8,6
2,1,6,4
3,24,9,7
4,18,3,9
5,5,6,7
6,7,6,8
7,22,8,5
8,8,7,4
9,13,1,9
10,23,6,8
name,pt,rt,size
1,4,8,10
2,14,5,9
3,10,1,9
4,28,7,13
5,18,9,13
6,4,6,6
7,3,8,8
8,20,5,12
9,6,7,6
10,2,1,4
name,pt,rt,size
1,1,5,8
2,26,10,8
3,21,8,7
4,15,6,4
5,26,4,5
6,12,11,8
7,11,1,7
8,11,12,5
9,16,10,4
10,7,7,5
name,pt,rt,size
1,1,12,4
2,2,14,9
3,23,14,13
4,1,3,5
5,1,2,10
6,1,9,10
7,21,1,9
8,29,13,7
9,5,11,7
10,21,7,5
name,pt,rt,size
1,7,8,9
2,10,2,5
3,2,7,5
4,9,1,7
5,15,1,8
6,6,2,4
7,3,3,8
8,15,3,4
9,4,4,4
10,9,6,5
name,pt,rt,size
1,19,1,12
2,14,8,6
3,15,8,8
4,10,2,13
5,3,9,7
6,10,6,4
7,13,1,12
8,19,9,11
9,8,2,10
10,1,4,11
name,pt,rt,size
1,14,6,9
2,7,12,8
3,18,14,7
4,12,9,6
5,18,1,9
6,6,10,9
7,4,10,7
8,8,6,9
9,7,7,4
10,13,10,6
name,pt,rt,size
1,14,3,12
2,13,7,9
3,2,3,13
4,17,2,9
5,17,8,11
6,14,8,9
7,17,9,8
8,12,1,12
9,17,8,8
10,7,9,5
name,pt,rt,size
1,26,9,9
2,28,8,9
3,8,6,7
4,17,8,8
5,20,3,6
6,12,6,4
7,18,3,7
8,20,7,4
9,15,7,8
10,13,5,5
name,pt,rt,size
1,2,4,9
2,29,3,6
3,17,1,5
4,9,3,12
5,13,2,12
6,27,2,11
7,8,8,11
8,18,1,4
9,10,5,8
10,28,7,6
name,pt,rt,size
1,21,4,6
2,17,9,8
3,11,14,8
4,1,14,5
5,12,10,9
6,19,2,9
7,8,5,5
8,10,14,5
9,22,8,4
10,16,12,6
name,pt,rt,size
1,3,5,8
2,3,8,4
3,25,7,9
4,20,13,11
5,5,7,4
6,10,3,11
7,28,10,8
8,1,14,11
9,14,13,6
10,7,3,8
name,pt,rt,size
1,4,5,9
2,5,7,6
3,14,9,6
4,15,7,9
5,19,3,5
6,12,5,9
7,6,1,9
8,6,1,4
9,7,8,4
10,19,5,7
name,pt,rt,size
1,1,8,6
2,11,1,13
3,6,6,8
4,5,5,5
5,13,9,12
6,2,9,9
7,3,5,7
8,14,9,8
9,2,1,9
10,6,2,7
name,pt,rt,size
1,1,6,6
2,11,14,8
3,17,3,4
4,13,12,6
5,9,6,5
6,2,11,4
7,19,10,4
8,13,1,4
9,7,1,6
10,17,8,8
name,pt,rt,size
1,15,1,10
2,11,2,4
3,16,14,6
4,17,9,6
5,11,2,13
6,6,9,7
7,6,11,9
8,18,5,7
9,14,10,12
10,8,3,10
name,pt,rt,size
1,14,4,7
2,9,8,7
3,18,8,8
4,12,7,4
5,19,7,4
6,27,8,6
7,24,4,8
8,23,7,4
9,12,5,4
10,23,8,4
name,pt,rt,size
1,21,4,8
2,9,9,5
3,17,5,10
4,11,5,5
5,15,1,12
6,12,5,7
7,19,2,12
8,23,3,9
9,2,9,12
10,1,5,6
name,pt,rt,size
1,6,5,6
2,8,4,6
3,8,12,8
4,28,2,6
5,6,6,6
6,22,9,8
7,15,7,6
8,7,6,6
9,7,9,9
10,23,12,5
name,pt,rt,size
1,5,7,9
2,15,2,11
3,4,10,4
4,21,13,4
5,27,4,11
6,14,12,8
7,28,12,6
8,21,10,13
9,19,13,10
10,15,11,11
name,pt,rt,size
1,17,7,7
2,13,2,7
3,10,3,4
4,18,5,7
5,19,5,5
6,7,8,7
7,19,1,6
8,13,1,9
9,17,9,7
10,19,9,9
name,pt,rt,size
1,3,4,5
2,10,3,7
3,2,7,4
4,8,9,11
5,11,7,9
6,12,9,12
7,13,6,8
8,12,8,11
9,10,6,13
10,15,2,10
name,pt,rt,size
1,1,4,8
2,10,12,4
3,17,7,8
4,15,7,9
5,18,3,6
6,12,10,9
7,13,13,7
8,5,1,4
9,18,1,7
10,6,1,5
name,pt,rt,size
1,3,14,10
2,13,2,10
3,15,9,9
4,19,14,6
5,6,1,11
6,17,3,10
7,13,3,12
8,3,8,4
9,11,4,9
10,4,14,7
name,pt,rt,size
1,18,3,4
2,8,2,9
3,17,4,7
4,22,8,4
5,16,9,5
6,9,7,8
7,12,9,7
8,21,4,8
9,4,8,4
10,24,9,6
name,pt,rt,size
1,23,6,12
2,12,6,4
3,25,7,5
4,19,1,7
