machine,batch,jobs,starting time,processing time,completion time
1,1,"8,10",18,4,22
2,1,"7,2,5,4",18,9,27
3,1,"6,9,1,3",18,8,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",18,7,25
2,1,"3,5,9",12,7,19
3,1,"6,2,7,8,10",15,7,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,3",17,14,31
2,1,"8,4,7,9",16,14,30
3,1,"10,1,5,6",15,13,28
machine,batch,jobs,starting time,processing time,completion time
1,1,7,19,2,21
2,1,"9,10",18,9,27
3,1,"8,6,1,2,3,4,5",16,14,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,7",20,7,27
2,1,"2,9,1,6",29,6,35
3,1,"3,10,5,8",25,9,34
machine,batch,jobs,starting time,processing time,completion time
1,1,10,17,5,22
2,1,"2,4",19,1,20
3,1,"1,7,5,6,8",20,8,28
4,1,"3,9",21,9,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1",10,12,22
2,1,"3,2,6,5",28,12,40
3,1,"7,8,9,10",28,11,39
machine,batch,jobs,starting time,processing time,completion time
1,1,2,27,14,41
2,1,"5,8",7,12,19
3,1,"10,6,9,1,3",15,14,29
4,1,"4,7",28,14,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1",9,8,17
2,1,"8,9,5,10",11,8,19
3,1,"2,7,3,4",16,6,22
machine,batch,jobs,starting time,processing time,completion time
1,1,4,18,3,21
2,1,"10,8",17,6,23
3,1,"3,6,7,9,2,5",19,9,28
4,1,1,3,7,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",18,9,27
2,1,"5,7,9,3",13,10,23
3,1,"4,6,8,10",18,13,31
machine,batch,jobs,starting time,processing time,completion time
1,1,7,13,1,14
2,1,"10,1,4",14,9,23
3,1,"6,2,5,8,3,9",16,12,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,9",18,3,21
2,1,"6,10,3,5",24,9,33
3,1,"1,7,2,8",22,8,30
machine,batch,jobs,starting time,processing time,completion time
1,1,4,28,7,35
2,1,"5,8",20,9,29
3,1,"1,2,3,7,6,9",14,8,22
4,1,10,2,1,3
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",26,10,36
2,1,"6,3,7,5",26,11,37
3,1,"8,10,4,9",16,12,28
machine,batch,jobs,starting time,processing time,completion time
1,1,3,23,14,37
2,1,"5,6,2",2,14,16
3,1,"7,8,9,4,10,1",29,13,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5",15,8,23
2,1,"7,4,2,3,10",10,7,17
3,1,"6,8,9",15,4,19
machine,batch,jobs,starting time,processing time,completion time
1,1,4,10,2,12
2,1,"1,7",19,1,20
3,1,"8,10,9,3,5",19,9,28
4,1,"2,6",14,8,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5",18,6,24
2,1,"6,8,2",8,12,20
3,1,"3,7,4,10,9",18,14,32
machine,batch,jobs,starting time,processing time,completion time
1,1,3,2,3,5
1,2,1,14,3,17
2,1,"8,5",17,8,25
3,1,"2,4,6,7,9,10",17,9,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",28,9,37
2,1,"4,9,3,7",18,8,26
3,1,"5,10,6,8",20,7,27
machine,batch,jobs,starting time,processing time,completion time
1,1,4,9,3,12
2,1,"5,6",27,2,29
3,1,"7,1,9,2,10,3,8",29,8,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,6",19,10,29
2,1,"2,3,1,10",21,14,35
3,1,"4,7,8,9",22,14,36
machine,batch,jobs,starting time,processing time,completion time
1,1,4,20,13,33
2,1,"6,8",10,14,24
3,1,"3,1,7,10,9,2,5",28,13,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",15,7,22
2,1,"6,7,10",19,5,24
3,1,"2,3,5,8,9",19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,2,11,1,12
2,1,"5,6,9",13,9,22
3,1,"3,8,7,10,1,4",14,9,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,10",17,14,31
2,1,"1,4,9,5,3",17,12,29
3,1,"6,7,8",19,11,30
machine,batch,jobs,starting time,processing time,completion time
1,1,5,11,2,13
2,1,"9,1",15,10,25
3,1,"10,7,6,8,3,4,2",18,14,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,7",24,8,32
2,1,"1,2,6,4,5",27,8,35
3,1,"8,9,10",23,8,31
machine,batch,jobs,starting time,processing time,completion time
1,1,5,15,1,16
2,1,"7,9",19,9,28
3,1,"3,8,1,6,10,2,4",23,9,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3",8,12,20
2,1,"6,1,2,4",28,9,37
3,1,"5,7,8,10",23,12,35
machine,batch,jobs,starting time,processing time,completion time
1,1,8,21,10,31
2,1,"2,5",27,4,31
3,1,"10,9,1,6,7,3",28,13,41
4,1,4,21,13,34
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,10",19,9,28
2,1,"1,2,4,6",18,8,26
3,1,"9,7,5,3",19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,9,10,6,16
2,1,"6,4",12,9,21
3,1,"8,10,5,7,2,1",15,8,23
4,1,3,2,7,9
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6",15,10,25
2,1,"1,3,7,9",18,13,31
3,1,"5,10,2,8",18,12,30
machine,batch,jobs,starting time,processing time,completion time
1,1,7,13,3,16
2,1,"5,1",6,14,20
3,1,"2,6,3,9,10",17,14,31
4,1,"4,8",19,14,33
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,6",9,7,16
2,1,"8,3,7,10",24,9,33
3,1,"5,1,4,9",22,9,31
machine,batch,jobs,starting time,processing time,completion time
1,1,1,23,6,29
2,1,"7,9",23,8,31
3,1,"10,4,5,8,6,3,2",26,9,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,8",28,13,41
2,1,"9,3,1,2",20,13,33
3,1,"4,10,5,7",27,10,37
machine,batch,jobs,starting time,processing time,completion time
1,1,7,22,12,34
2,1,"6,10",23,13,36
3,1,"1,4,9,5,2,3",25,14,39
4,1,8,11,11,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,1",17,5,22
2,1,"4,3,5,6,8",18,8,26
3,1,"10,2,9",17,7,24
machine,batch,jobs,starting time,processing time,completion time
1,1,7,10,7,17
2,1,"5,9,4",14,6,20
3,1,"8,1,10,3,6,2",15,8,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",5,10,15
2,1,"3,4,6,7",19,13,32
3,1,"10,8,5,9",18,7,25
machine,batch,jobs,starting time,processing time,completion time
1,1,3,10,6,16
2,1,"5,9",18,10,28
3,1,"10,1,2,4,8,6,7",15,14,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,7",24,3,27
2,1,"9,1,3,10",25,8,33
3,1,"2,6,8,4",26,9,35
machine,batch,jobs,starting time,processing time,completion time
1,1,8,4,6,10
2,1,"10,6",19,9,28
3,1,"2,5,9,4,1",28,9,37
4,1,"7,3",8,6,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,5",17,13,30
2,1,"6,9,2,10",22,14,36
3,1,"8,1,7,4",29,10,39
machine,batch,jobs,starting time,processing time,completion time
1,1,6,27,7,34
2,1,"4,7",16,9,25
3,1,"10,1,5,8,2,3",17,14,31
4,1,9,5,13,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,1",9,9,18
2,1,"5,6,9,2,8",17,7,24
3,1,"3,4,10",19,6,25
machine,batch,jobs,starting time,processing time,completion time
1,1,5,19,5,24
2,1,"9,10,8",10,7,17
3,1,"2,3,4,6,1,7",19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",18,11,29
2,1,"2,6,3,5",17,9,26
3,1,"8,7,9,10",16,7,23
machine,batch,jobs,starting time,processing time,completion time
1,1,3,12,13,25
2,1,"4,10,7",11,13,24
3,1,"8,6,9,5,1,2",19,14,33
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4",17,6,23
2,1,"7,1,6,10,3",28,8,36
3,1,"5,9,8",22,3,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,3",11,9,20
2,1,"5,10,4",25,9,34
3,1,"1,6,7,8,9",29,7,36
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",17,11,28
2,1,"4,9,3,5,6",29,11,40
3,1,"7,8,10",29,7,36
machine,batch,jobs,starting time,processing time,completion time
1,1,6,23,8,31
2,1,"10,7",16,10,26
3,1,"9,5,8,2,3,1,4",25,11,36
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,4",9,9,18
2,1,"6,7,1,3",17,4,21
3,1,"5,9,2,10",18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,2,8,5,13
2,1,"6,3",7,8,15
3,1,"5,7,10,1",18,9,27
4,1,"4,8,9",18,9,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",19,14,33
2,1,"6,9,5,2",15,11,26
3,1,"3,7,8,10",15,14,29
machine,batch,jobs,starting time,processing time,completion time
1,1,1,15,13,28
2,1,"3,7",8,13,21
3,1,"6,4,8,9,5,2",19,14,33
4,1,10,18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,9",28,1,29
2,1,"7,1,5,8",27,9,36
3,1,"4,3,6,10",23,8,31
machine,batch,jobs,starting time,processing time,completion time
1,1,2,17,9,26
2,1,"4,9",21,9,30
3,1,"5,7,8,1",24,9,33
4,1,"6,3,10",28,3,31
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",25,8,33
2,1,"6,5,9",23,6,29
3,1,"3,10,2,8,7",27,11,38
machine,batch,jobs,starting time,processing time,completion time
1,1,4,20,7,27
2,1,"5,1",23,11,34
3,1,"2,3,10,6,9",22,14,36
4,1,"7,8",24,14,38
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,9",15,7,22
2,1,"1,2,10,4",14,9,23
3,1,"6,7,8,3",16,7,23
machine,batch,jobs,starting time,processing time,completion time
1,1,1,14,1,15
2,1,"4,8",17,8,25
3,1,"9,10,2,7",18,9,27
4,1,"6,3,5",18,8,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4",14,11,25
2,1,"5,9,7",19,8,27
3,1,"8,1,6,10,3",19,11,30
machine,batch,jobs,starting time,processing time,completion time
1,1,2,13,3,16
2,1,"4,10",7,12,19
3,1,"5,6,3,9,7",17,14,31
4,1,"8,1",16,3,19
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4",21,9,30
2,1,"6,7,1",29,7,36
3,1,"9,10,3,5,8",28,9,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,5",28,8,36
2,1,"6,1,2",29,8,37
3,1,"8,4,7,9,10",27,7,34
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4",11,10,21
2,1,"9,6,1,10",28,14,42
3,1,"3,5,7,8",26,14,40
machine,batch,jobs,starting time,processing time,completion time
1,1,1,12,1,13
2,1,"5,3",15,2,17
3,1,"8,10,6,4,2,7,9",25,14,39
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8",19,7,26
2,1,"5,7,9,2",16,9,25
3,1,"4,1,6,10",16,8,24
machine,batch,jobs,starting time,processing time,completion time
1,1,2,7,1,8
2,1,"9,1",15,7,22
3,1,"3,4,6,5",19,9,28
1,2,"8,7",16,5,21
4,1,10,7,6,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,8",14,11,25
2,1,"1,2,3,4,5,6",17,13,30
3,1,"7,9",13,10,23
machine,batch,jobs,starting time,processing time,completion time
1,1,2,2,12,14
2,1,"4,9",14,9,23
3,1,"8,1,6,3,7,10",18,9,27
4,1,5,11,5,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,1",15,4,19
2,1,"9,4,8,2,3",26,9,35
3,1,"5,6,10",23,5,28
machine,batch,jobs,starting time,processing time,completion time
1,1,5,22,3,25
2,1,"7,1,6",29,9,38
3,1,"8,9,10,3,4,2",29,6,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1",26,7,33
2,1,"4,10,6,9",29,14,43
3,1,"5,7,2,8",29,10,39
machine,batch,jobs,starting time,processing time,completion time
1,1,4,19,10,29
2,1,"5,10",28,14,42
3,1,"2,1,3,7,8,6,9",23,14,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,5",12,9,21
2,1,"7,10,17",18,7,25
3,1,"20,22,15,23,6,14",19,5,24
4,1,"21,4,12,13,9,11,16,18,19,25,1,2,8",19,9,28
1,2,24,17,5,22
machine,batch,jobs,starting time,processing time,completion time
1,1,14,12,5,17
2,1,"19,25",18,9,27
3,1,"6,8,22,24",15,9,24
4,1,"1,3,13,10,12,15",17,9,26
1,2,"20,18",16,8,24
1,3,"2,17",2,5,7
1,4,"21,16",19,9,28
3,2,"23,5,4,7,9,11",10,9,19
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,11",18,6,24
2,1,"23,2,3",13,11,24
3,1,"6,16,17,5,10,12",12,14,26
4,1,"14,22,4,7,8,18,19,21,1,13,20,15",19,14,33
2,2,"24,25",12,2,14
machine,batch,jobs,starting time,processing time,completion time
1,1,20,15,10,25
2,1,"21,22",11,12,23
3,1,"2,3,13,19",15,14,29
4,1,"14,16,6,12,17,1,8,18,24",18,13,31
2,2,"5,7,10,4,9,11",11,11,22
2,3,"15,23,25",18,14,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,17",23,7,30
2,1,"3,6,9,11",20,6,26
3,1,"20,23,1,7,8,15,21,22",27,9,36
4,1,"10,12,13,14,16,18,25,2,4,19,24",29,8,37
machine,batch,jobs,starting time,processing time,completion time
1,1,6,7,9,16
2,1,"8,2",21,9,30
3,1,"4,16,22,7",21,9,30
4,1,"18,20,19,3,21,10,11,17",26,9,35
1,2,"9,14,1",18,9,27
1,3,"5,25,12,13",26,9,35
3,2,"15,23,24",28,9,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,12",23,11,34
2,1,"20,7,2",28,8,36
3,1,"5,6,10,11,14,22,23",25,12,37
4,1,"3,9,16,17,18,19,21,8,1,13,15,24,25",29,14,43
machine,batch,jobs,starting time,processing time,completion time
1,1,1,17,7,24
2,1,"8,15",29,13,42
3,1,"19,6,11,21",24,14,38
4,1,"2,7,22,24,10,23,3",17,14,31
1,2,"4,5",22,4,26
1,3,"13,17",17,14,31
1,4,"18,12,25",28,12,40
4,2,"9,20,14,16",29,14,43
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,5",16,7,23
2,1,"11,15,17",15,8,23
3,1,"8,10,19,20,25,2",18,9,27
4,1,"12,13,18,22,23,1,7,9,14,16,24",19,9,28
2,2,"3,6,21",13,7,20
machine,batch,jobs,starting time,processing time,completion time
1,1,2,14,2,16
2,1,"23,9",15,9,24
3,1,"10,24,4,6",17,8,25
4,1,"12,17,25,15,1,5,8",17,9,26
1,2,"20,22",11,9,20
1,3,"3,21,7",15,9,24
1,4,"11,14,16,13",15,9,24
1,5,"18,19",18,7,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,11",13,10,23
2,1,"12,17,19",19,11,30
3,1,"20,8,15,22,2,7",19,13,32
4,1,"14,18,21,3,13,9,16,23,25,4,5,6,10",17,13,30
1,2,24,17,10,27
machine,batch,jobs,starting time,processing time,completion time
1,1,2,18,11,29
2,1,"3,10",15,14,29
3,1,"20,21,4,9",15,14,29
4,1,"13,5,18,25,6,12,15",19,11,30
3,2,"24,7,11,14,16,17,19",19,12,31
2,2,"1,8,22,23",10,12,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,15",21,6,27
2,1,"19,6,14",28,7,35
3,1,"17,18,9,25,2,13,20",24,9,33
4,1,"21,22,24,1,3,4,7,23,8,10,11,12,16",25,9,34
machine,batch,jobs,starting time,processing time,completion time
1,1,1,15,4,19
2,1,"2,5",27,7,34
3,1,"22,9,12,20",18,9,27
4,1,"16,17,23,13,3,6,10,7",29,9,38
1,2,"11,14,21",21,6,27
1,3,"24,25,4,8",18,9,27
1,4,"15,18,19",23,9,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",3,5,8
2,1,"7,10,12",21,14,35
3,1,"18,14,15,23,9,25",29,12,41
1,2,"6,13,19",28,12,40
4,1,"20,24,2,3,8,11,16,17,21,5,22",27,12,39
machine,batch,jobs,starting time,processing time,completion time
1,1,2,6,7,13
2,1,"5,9",25,14,39
3,1,"10,21,23",29,13,42
4,1,"4,25,8,13,14,19",26,10,36
1,2,"3,15",28,4,32
1,3,"12,16",25,14,39
4,2,"20,1,11,6,7,18,22,17,24",22,12,34
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,10",12,7,19
2,1,"23,7,9",13,8,21
3,1,"14,15,16,18,19,20",19,8,27
4,1,"22,1,12,21,25,2,3,8,11,5,24",18,9,27
1,2,"6,13,17",14,7,21
machine,batch,jobs,starting time,processing time,completion time
1,1,3,3,7,10
2,1,"12,6",14,8,22
3,1,"1,7,9,11",18,8,26
4,1,"13,17,20,18,2,5,15",17,7,24
1,2,"16,21",2,7,9
1,3,"23,25,4",19,9,28
2,2,"8,22,24,10,14,19",17,8,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,22",10,8,18
2,1,"2,3,5",12,12,24
3,1,"8,14,16,18,13,15",19,14,33
4,1,"23,21,24,25,1,4,9,10,11,17,19,7,12",18,13,31
1,2,20,7,6,13
machine,batch,jobs,starting time,processing time,completion time
1,1,8,4,13,17
2,1,"10,11",2,2,4
2,2,"22,14",16,8,24
3,1,"16,25,4,13",19,14,33
4,1,"23,5,6,15,18,7,12",19,14,33
1,2,"9,21",19,6,25
2,3,"2,3,19,20",19,14,33
1,3,"17,1,24",14,8,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,5",12,6,18
2,1,"7,10,12",16,7,23
3,1,"17,20,24,15,19",28,8,36
4,1,"22,8,9,11,18,21,2,23,25,14",28,9,37
1,2,"16,1,3,6",22,6,28
2,2,13,24,4,28
machine,batch,jobs,starting time,processing time,completion time
1,1,10,4,2,6
2,1,"21,22",16,5,21
