machine,batch,jobs,starting time,processing time,completion time
1,1,"5,9,3",18,9,27
2,1,"7,1,4,8",17,6,23
3,1,"2,10,6",18,2,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3",16,7,23
2,1,"6,8,10,2",15,7,22
3,1,"4,5,7,9",18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8",14,14,28
2,1,"1,2,4,10",17,13,30
3,1,"9,5,6,7",16,6,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,2",16,14,30
2,1,"9,1,5,6",12,9,21
3,1,"10,8,7",19,5,24
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,7",16,9,25
2,1,"1,8,5,9",27,6,33
3,1,"2,6,4,10",29,2,31
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1",21,9,30
2,1,"3,7,6",14,8,22
3,1,"10,8,2,4",20,5,25
4,1,5,5,1,6
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",26,12,38
2,1,"4,8,10,5,7",28,11,39
3,1,"3,9,6",13,5,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",27,14,41
2,1,"6,7,9",28,14,42
3,1,"5,10,8,3",13,12,25
4,1,4,22,2,24
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,9,7",8,8,16
2,1,"8,3,2,4,5",16,6,22
3,1,"10,6",9,4,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3,1",10,9,19
2,1,"6,8",18,7,25
3,1,"10,2,4,9,7",19,6,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8,5",13,13,26
2,1,"1,6,7,2",18,9,27
3,1,"9,3,10",18,8,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3,4",13,12,25
2,1,"8,6,10,2",16,8,24
3,1,"1,7,9",13,1,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1,7",24,9,33
2,1,"8,2,5,6",8,7,15
3,1,"10,4,9",23,6,29
machine,batch,jobs,starting time,processing time,completion time
1,1,5,18,9,27
2,1,"1,7",4,8,12
3,1,"4,9,6,2,8",28,7,35
4,1,"3,10",10,1,11
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,6",12,12,24
2,1,"2,9,3,10,4",26,10,36
3,1,"1,5,7",26,5,31
machine,batch,jobs,starting time,processing time,completion time
1,1,2,2,14,16
2,1,"3,8,1",29,14,43
3,1,"9,6,10,4,5,7",21,11,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3,10",9,8,17
2,1,"9,7,8,2,6",15,4,19
3,1,"4,5",15,1,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,8",19,9,28
2,1,"2,3,6,10",15,8,23
3,1,"4,9,1,7",19,2,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2",18,14,32
2,1,"6,7,10,4",13,10,23
3,1,"9,1,8,5",18,7,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,10",17,9,26
2,1,"5,6,9",17,8,25
3,1,"2,1,3,4",17,7,24
4,1,8,12,1,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",28,9,37
2,1,"4,8,9,3",20,8,28
3,1,"6,10,5,7",20,6,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,10",28,8,36
2,1,"9,1,2",29,5,34
3,1,"4,5,6,3,8",27,3,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,8",11,14,25
2,1,"10,5,2,9",22,12,34
3,1,"7,1,6",21,5,26
machine,batch,jobs,starting time,processing time,completion time
1,1,8,1,14,15
2,1,"4,9,7,2",28,13,41
3,1,"3,5,1,6,10",25,7,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,9,2",14,9,23
2,1,"4,1,6",15,7,22
3,1,"10,5,7,8",19,5,24
machine,batch,jobs,starting time,processing time,completion time
1,1,5,13,9,22
2,1,"6,8,1",14,9,23
3,1,"3,4,7,10,2,9",11,6,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4,6",13,14,27
2,1,"7,10,1,5,3",19,10,29
3,1,"8,9",13,1,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,7",16,14,30
2,1,"9,4,6",17,10,27
3,1,"8,10,2,5,1",18,5,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,3",18,8,26
2,1,"6,10,4,5,8,9",27,8,35
3,1,"1,7",24,4,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,9",9,9,18
2,1,"3,4,6,10",17,5,22
3,1,"1,8,7,5",23,4,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,10",23,12,35
2,1,"6,9,7,5",22,9,31
3,1,"8,1,2,4",28,6,34
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,9",21,13,34
2,1,"6,7,10,3",28,12,40
3,1,"8,1,5,2",27,10,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,10",19,9,28
2,1,"6,1,4,5,3",19,8,27
3,1,"2,7,8",19,2,21
machine,batch,jobs,starting time,processing time,completion time
1,1,4,8,9,17
2,1,"6,8,3",12,9,21
3,1,"5,7,9,1,2",13,7,20
4,1,10,15,2,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,2,6",13,13,26
2,1,"3,4,1",17,7,24
3,1,"5,8,9,10",18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",19,14,33
2,1,"10,3,8,9",15,14,29
3,1,"6,7,2,5",17,3,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,7,10",24,9,33
2,1,"4,9,6,3",22,8,30
3,1,"8,1,2",21,4,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,7",16,9,25
2,1,"3,1,2,8",25,7,32
3,1,"5,9,10,4",26,4,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,9",10,13,23
2,1,"4,6,3,1",28,10,38
3,1,"2,5,7,10",27,3,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,10",18,14,32
2,1,"2,7,8",22,12,34
3,1,"9,6,1,4,3",25,11,36
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2,5,8",18,8,26
2,1,"1,4,10,6",17,5,22
3,1,"7,9",17,2,19
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,7",10,8,18
2,1,"1,9,10,2",15,6,21
3,1,"5,8,4,6",14,5,19
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6",18,13,31
2,1,"1,3,9,2",18,10,28
3,1,"8,10,5,7",19,4,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,4",12,14,26
2,1,"5,8,2",14,10,24
3,1,"9,10,1,3,6",18,8,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,9,6",26,9,35
2,1,"8,4,10,1,3",22,7,29
3,1,"5,7",24,3,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,6",18,9,27
2,1,"2,9,3",15,8,23
3,1,"7,8,5,10",22,6,28
4,1,4,28,1,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,5",18,14,32
2,1,"2,9,1,3",29,12,41
3,1,"4,7,6,8",28,8,36
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,5",17,14,31
2,1,"8,9,1,3",7,13,20
3,1,"4,6,7,10",27,9,36
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5,6",17,9,26
2,1,"10,8,9,2,7",8,6,14
3,1,"3,4",19,2,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,6",16,9,25
2,1,"9,4,10",19,7,26
3,1,"2,5,3,7,8",19,5,24
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1",18,11,29
2,1,"5,2,3,7,8",17,9,26
3,1,"6,9,10",10,5,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,3",12,14,26
2,1,"4,7,9",10,13,23
3,1,"8,10,6,5",19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",17,8,25
2,1,"7,3,8,4,10",28,6,34
3,1,"5,6,9",20,1,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,10",25,9,34
2,1,"1,2,4",15,7,22
3,1,"5,6,7,8,9",29,6,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",17,11,28
2,1,"5,6,9,7,3,10",29,11,40
3,1,"4,8",19,5,24
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,2",19,11,30
2,1,"10,5",21,10,31
3,1,"6,4,7,3,8,1",25,8,33
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,7",9,9,18
2,1,"3,5,8,9",18,3,21
3,1,"1,6,2,10",16,2,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8",18,9,27
2,1,"10,3,9",9,9,18
3,1,"1,2,6,5",18,5,23
4,1,7,5,1,6
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3,2",19,14,33
2,1,"10,6,5,9",10,10,20
3,1,"4,7,8",15,7,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4",19,14,33
2,1,"8,1",15,14,29
3,1,"3,5,9,7,10",18,13,31
4,1,6,18,2,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3,4",19,9,28
2,1,"8,1,6,10,2",27,5,32
3,1,"7,9",28,1,29
machine,batch,jobs,starting time,processing time,completion time
1,1,1,6,9,15
2,1,"2,4",21,9,30
3,1,"7,9,8,3",24,9,33
4,1,"5,10,6",28,3,31
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8",12,11,23
2,1,"4,7,1",27,8,35
3,1,"6,9,2,10,5",25,6,31
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8",24,14,38
2,1,"9,6,1",23,14,37
3,1,"10,4,5,2",22,11,33
4,1,7,22,2,24
machine,batch,jobs,starting time,processing time,completion time
