machine,batch,jobs,starting time,processing time,completion time
1,1,"1,8,2",8,5,13
2,1,"6,10,5,9",18,9,27
3,1,"7,4",7,6,13
4,1,3,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,3,2",15,7,22
2,1,"6,5,7",15,7,22
3,1,"9,10,4",18,4,22
4,1,1,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2,6",17,14,31
2,1,"10,8,7,1",14,14,28
3,1,"9,4",7,11,18
4,1,5,8,4,12
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1,3,5",12,14,26
2,1,"8,2,7",19,9,28
3,1,"4,9",7,11,18
4,1,10,8,5,13
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,5",25,9,34
2,1,"1,7,9,10",27,7,34
3,1,"8,2",29,6,35
4,1,6,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,5",5,8,13
2,1,"6,8,9",21,9,30
3,1,"10,3,4",19,8,27
4,1,"1,2",8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",10,12,22
2,1,"3,2,5,8,10",28,12,40
3,1,"9,6",7,5,12
4,1,7,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,1",2,14,16
2,1,"3,4,2",27,14,41
3,1,"9,7,8",28,14,42
4,1,"5,6",8,14,22
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,6,2",16,8,24
2,1,"5,1,10,3",8,8,16
3,1,"8,7",8,6,14
4,1,4,8,4,12
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,2,3",15,9,24
2,1,"8,1,10",5,7,12
3,1,"4,6,9",18,7,25
4,1,7,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1,6",9,9,18
2,1,"4,2,7,8",18,13,31
3,1,"5,9",7,10,17
4,1,10,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,2",15,9,24
2,1,"5,6,9,10",14,12,26
3,1,"7,8",16,8,24
4,1,1,8,1,9
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4,3",24,9,33
2,1,"9,6,5,7",22,8,30
3,1,"1,10",23,8,31
4,1,8,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2",14,5,19
2,1,"5,7,9",6,9,15
3,1,"10,6,8",20,6,26
4,1,"4,1",8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,4",26,10,36
2,1,"7,6,5,10",26,11,37
3,1,"8,3",21,12,33
4,1,9,8,10,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,8",29,14,43
2,1,"4,7,10,5",21,7,28
3,1,"6,9",7,11,18
4,1,3,8,14,22
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,1,3",7,8,15
2,1,"5,7,10,8",15,6,21
3,1,"9,4",9,4,13
4,1,6,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,3",15,8,23
2,1,"4,5,6",10,9,19
3,1,"7,2,8",19,9,28
4,1,"1,9",8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1,9",14,9,23
2,1,"10,5,8",18,10,28
3,1,"3,6,7",7,14,21
4,1,2,8,12,20
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,7",17,9,26
2,1,"2,4,9",17,8,25
3,1,"1,6,3",14,8,22
4,1,"5,10",8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1,3",26,9,35
2,1,"10,2,9,5",28,8,36
3,1,"4,7",18,8,26
4,1,8,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1",2,5,7
2,1,"5,2,3",29,3,32
1,2,"8,10",28,7,35
3,1,"6,4",9,3,12
4,1,7,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,5,1",21,14,35
2,1,"8,6,3,7",19,14,33
3,1,"10,2",17,12,29
4,1,9,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,3",25,14,39
2,1,"6,1,10",7,5,12
3,1,"9,7,5",28,13,41
4,1,"4,2",8,13,21
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1",4,5,9
2,1,"3,4,10,5",19,9,28
3,1,"2,7,9",7,8,15
4,1,8,8,1,9
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,6,4",5,9,14
2,1,"2,9,8",14,9,23
3,1,"5,3,10",7,9,16
4,1,7,8,5,13
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,4",13,14,27
2,1,"8,10,5,6",17,11,28
3,1,"3,9",7,3,10
4,1,7,8,10,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,7,8",18,11,29
2,1,"5,6,4",17,9,26
3,1,"9,3,10",16,14,30
4,1,1,8,1,9
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,3,1",18,8,26
2,1,"9,7,6,8",27,8,35
3,1,"5,2",9,8,17
4,1,10,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,8,2",23,9,32
2,1,"4,1,5",21,5,26
3,1,"6,7,3",19,5,24
4,1,9,8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,9,10",23,12,35
2,1,"6,3,2,5",8,12,20
3,1,"4,1",7,5,12
4,1,8,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1",5,12,17
2,1,"2,7,4",28,13,41
3,1,"10,3,5",27,11,38
4,1,"9,8",21,13,34
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8,1",17,7,24
2,1,"2,10,6,7",19,9,28
3,1,"9,4",18,9,27
4,1,5,8,5,13
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,5,3",11,7,18
2,1,"9,7",13,6,19
3,1,"6,1,8",12,9,21
4,1,"10,4",8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",15,7,22
2,1,"2,6,7,5,8",18,13,31
3,1,"3,9",18,7,25
4,1,10,8,1,9
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3",15,9,24
2,1,"2,10,8",5,14,19
3,1,"7,4,1",19,14,33
4,1,"6,5",8,3,11
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,2,1",18,9,27
2,1,"5,6,3,4",22,9,31
3,1,"8,10",24,9,33
4,1,9,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,10,5",26,6,32
2,1,"6,4,3,7",25,9,34
3,1,"1,8",7,6,13
4,1,9,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,6,5",28,8,36
2,1,"9,8,1,10",27,13,40
3,1,"3,4",26,10,36
4,1,7,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",25,7,32
2,1,"8,9,2",17,12,29
3,1,"10,5,7",22,14,36
4,1,"6,3",8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,7",17,5,22
2,1,"4,3,6,10,9",17,8,25
3,1,"2,5",8,7,15
4,1,8,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,4",6,7,13
2,1,"5,9,1,3",7,8,15
3,1,"2,8,6",7,5,12
4,1,10,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,1,7",19,10,29
2,1,"4,2,6,5",18,13,31
3,1,"9,3",7,7,14
4,1,8,8,4,12
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1,8",14,13,27
2,1,"2,6,3",10,8,18
3,1,"5,7,10",15,14,29
4,1,9,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,5,2",25,9,34
2,1,"4,7,1,6",26,7,33
3,1,"3,9",25,8,33
4,1,8,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,7",28,6,34
2,1,"2,1,10",19,9,28
3,1,"9,8,5",22,7,29
4,1,6,8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3",3,13,16
2,1,"10,6,2,1",29,14,43
3,1,"8,9,4",28,12,40
4,1,7,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1,9",7,13,20
2,1,"4,5,2",17,14,31
3,1,"7,8,10",17,13,30
4,1,6,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,7,2",7,7,14
2,1,"6,1,8,4",9,9,18
3,1,"3,9",8,5,13
4,1,10,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,10",2,6,8
2,1,"1,2,4,7",19,9,28
3,1,"3,6,9",7,7,14
1,2,5,8,5,13
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,1,7",18,10,28
2,1,"10,4,3,8",12,11,23
3,1,"5,6",9,9,18
4,1,9,8,3,11
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,10",11,13,24
2,1,"3,8,9",18,13,31
3,1,"6,5,2",19,14,33
4,1,"4,1",8,14,22
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,6",20,8,28
2,1,"7,4,3,9",28,6,34
3,1,"8,10",28,3,31
4,1,5,8,1,9
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,2,9",29,6,35
2,1,"5,3,1,7",15,9,24
3,1,"10,6",7,9,16
4,1,8,8,3,11
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1,6",29,11,40
2,1,"2,4,5,8",24,11,35
3,1,"3,7",29,7,36
4,1,10,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,9,2",19,11,30
2,1,"3,5,1,7",21,8,29
3,1,"10,8",25,10,35
4,1,6,8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,8,1",15,3,18
2,1,"6,4,3,9",17,9,26
3,1,"10,7",7,4,11
4,1,5,8,3,11
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,1",18,9,27
2,1,"4,9,6",7,9,16
3,1,"5,2,7",8,5,13
4,1,"3,10",9,9,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1",19,14,33
2,1,"9,4,2,7",15,11,26
3,1,"3,5,10",7,14,21
4,1,8,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8",5,14,19
2,1,"1,9,2",19,14,33
3,1,"6,5,3",7,13,20
4,1,"10,7",8,8,16
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,1",7,4,11
2,1,"3,9,5,4",28,9,37
3,1,"7,8",27,5,32
4,1,6,8,4,12
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,3",16,3,19
2,1,"2,10,8",28,9,37
3,1,"7,4,5",21,9,30
4,1,"9,1",8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,1",7,6,13
2,1,"9,4,3,2",25,11,36
3,1,"10,6,7",27,8,35
4,1,8,8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,6",9,14,23
2,1,"2,9,8",24,14,38
3,1,"4,7,1",23,11,34
4,1,"10,5",8,11,19
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,9",15,7,22
2,1,"6,1,10,7",14,9,23
3,1,"8,2,3",7,8,15
4,1,4,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3",18,8,26
2,1,"1,5,8",14,8,22
3,1,"2,4,7",18,8,26
4,1,"6,10",8,9,17
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,8",14,5,19
2,1,"1,4,9,6",19,11,30
3,1,"5,7",7,8,15
4,1,3,8,11,19
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,7",16,12,28
2,1,"2,8,3",8,3,11
3,1,"6,1,5",17,14,31
4,1,"10,9",9,12,21
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2",21,9,30
2,1,"7,4,9,5",21,7,28
3,1,"10,6,8",29,9,38
4,1,3,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,1",26,8,34
2,1,"10,2,4,9",29,7,36
3,1,"7,8,6",20,5,25
4,1,3,8,7,15
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,3",26,10,36
2,1,"4,9,1,7",11,14,25
3,1,"8,6",28,13,41
4,1,5,8,14,22
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,10,4",25,11,36
2,1,"1,6,9",24,14,38
3,1,"3,2,8",25,13,38
4,1,5,8,2,10
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,8",19,7,26
2,1,"7,5,2,1,10",16,8,24
3,1,"4,9",8,9,17
4,1,6,8,6,14
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8",4,9,13
2,1,"9,7",16,6,22
3,1,"1,10,3,5",19,8,27
4,1,"6,2",8,5,13
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,10,1",14,12,26
2,1,"9,8,4,6",5,13,18
3,1,"2,5",17,10,27
4,1,7,8,10,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,10",10,9,19
2,1,"5,1,3",18,8,26
3,1,"7,6,9",14,9,23
4,1,"2,8",8,12,20
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,7,4",26,4,30
2,1,"9,1,2,5",15,9,24
3,1,"8,3",26,9,35
4,1,10,8,4,12
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,6",29,5,34
2,1,"7,8,10",29,9,38
3,1,"3,9,2",26,5,31
4,1,"5,4",8,3,11
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,3",26,7,33
2,1,"4,1,9,7",21,14,35
3,1,"8,6,2",29,9,38
4,1,5,8,10,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3",19,12,31
2,1,"8,1,6,2",23,12,35
3,1,"9,7,10",28,14,42
4,1,4,8,10,18
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"16,3,4",3,9,12
2,1,"17,5,10",12,7,19
3,1,"20,7,15,6,21,13,1",19,9,28
4,1,"8,22,14,9,18,25,24",17,8,25
1,2,"23,12,19",18,3,21
2,2,"2,11",19,7,26
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,18",16,8,24
2,1,"9,17,16,5",19,8,27
3,1,"12,21,4,11,19",19,9,28
4,1,"15,23,14,6,22,1",15,9,24
4,2,"10,7,8,3,20",24,8,32
1,2,13,24,9,33
2,2,"24,25",27,9,36
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,9",9,11,20
2,1,"8,11,3,5",18,10,28
3,1,"18,23,16,10,14,4,19",19,14,33
4,1,"17,6,22,21,13,15,25",19,14,33
1,2,"24,12,1",20,12,32
2,2,"7,20",28,10,38
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,14,1",8,11,19
2,1,"3,16,12",18,3,21
3,1,"4,6,8,24,7,11,23,2",15,14,29
4,1,"22,17,5,15,20,13",18,14,32
1,2,"18,10",19,7,26
2,2,"19,25",21,9,30
1,3,21,26,12,38
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"14,5,1",23,7,30
2,1,"13,17,6,11",20,8,28
3,1,"19,3,20,7,15,22,12,18",27,9,36
4,1,"8,9,21,16,2,24",26,7,33
2,2,"4,23,25",29,7,36
1,2,10,30,5,35
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"18,3",8,8,16
2,1,"16,21,11",22,9,31
3,1,"1,10,9,5,12,15,24,8",28,9,37
4,1,"20,17,25,23,2,22,19",26,9,35
1,2,"13,14",18,9,27
1,3,4,27,9,36
2,2,"7,6",31,9,40
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"13,4,2",28,3,31
2,1,"3,12,7,6",26,11,37
3,1,"24,20,10,14,23,16,18,1",23,14,37
4,1,"25,5,22,17,21,15",29,12,41
1,2,"9,11,8",31,13,44
3,2,19,37,5,42
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"19,5",22,11,33
2,1,"6,10,3",14,12,26
3,1,"4,23,17,12,9,14,2",29,13,42
4,1,"7,13,25,16,8,11,22",28,14,42
2,2,"20,18,15",29,7,36
1,2,1,33,7,40
2,3,"21,24",36,14,50
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"20,4",5,9,14
2,1,"21,5,15,8",16,5,21
3,1,"1,11,10,25,12,18,14",18,9,27
4,1,"22,17,2,23,9,24,6",19,7,26
1,2,"7,19,16",16,8,24
2,2,"3,13",21,7,28
,,,,,
machine,batch,jobs,starting time,processing time,completion time
1,1,"22,15",4,2,6
2,1,"20,1,8,7",15,9,24
