machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,9",4,8,12
2,1,"4,8,6,7",17,6,23
3,1,"3,5,10",18,9,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,3",4,7,11
2,1,"5,6,9,10",13,7,20
3,1,"2,7,1,4",18,7,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,7,1",4,13,17
2,1,"5,3,10,8",14,14,28
3,1,"6,9,2",17,12,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,1,3",5,14,19
2,1,"9,6,8",11,9,20
3,1,"5,4,10,7",19,11,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,10",5,7,12
2,1,"3,1,8,4",20,9,29
3,1,"5,6,9,2",29,3,32
machine,batch,jobs,starting time,processing time,completion time
1,1,1,4,8,12
2,1,"2,5,3",9,8,17
3,1,"7,6,10,4",19,8,27
4,1,"8,9",21,9,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,1",10,12,22
2,1,"4,3,9,7,10",23,11,34
3,1,"2,5,8",28,12,40
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5",2,14,16
2,1,"6,8",7,14,21
3,1,"10,3,9,4,2",27,14,41
4,1,7,28,14,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3,8",2,8,10
2,1,"4,1,7,10,6",9,8,17
3,1,"5,2",16,4,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1",3,7,10
2,1,"10,3,5",10,9,19
3,1,"2,8,4,6,7",19,7,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,8",4,13,17
2,1,"7,1,6,3",10,9,19
3,1,"4,5,2,10",18,13,31
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4",3,9,12
2,1,"9,3,5,7",13,12,25
3,1,"6,10,2,8",16,8,24
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,5,6",7,6,13
2,1,"8,9,1,4",18,8,26
3,1,"7,10,3",24,9,33
machine,batch,jobs,starting time,processing time,completion time
