machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3,6",18,7,25
2,1,"2,4,5,8",18,9,27
3,1,"9,7",17,8,25
4,1,10,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,10,7",15,7,22
2,1,"3,2,5",15,7,22
3,1,"6,9,4",18,7,25
4,1,1,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6,5",15,11,26
2,1,"7,1,10,3",12,14,26
3,1,"8,9",16,14,30
4,1,2,8,12,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,1,4,6",16,11,27
2,1,"3,5,10",18,14,32
3,1,"9,8",11,9,20
4,1,7,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,8,3",19,9,28
2,1,"10,5,6,9",27,3,30
3,1,"1,2",29,6,35
4,1,4,8,1,9
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3",9,8,17
2,1,"2,9,8",21,9,30
3,1,"5,6,4",19,7,26
4,1,"7,10",17,8,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,9,5,8",28,11,39
2,1,"1,10,2,4",26,12,38
3,1,"3,7",15,6,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4,3",22,14,36
2,1,"5,7,6",28,14,42
3,1,"8,9,10",15,13,28
4,1,2,8,14,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3,2",16,8,24
2,1,"8,4,5,1",11,8,19
3,1,"7,10",8,6,14
4,1,6,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1,5",10,9,19
2,1,"10,2,6",18,7,25
3,1,"3,7,4",19,8,27
4,1,8,8,6,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,6,10",18,9,27
2,1,"8,3,2,7",18,13,31
3,1,"1,4",13,13,26
4,1,5,8,10,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3,5",13,12,25
2,1,"4,9,2,7",15,9,24
3,1,"6,8",16,8,24
4,1,10,8,3,11
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,8,1",18,8,26
2,1,"5,7,6,4",22,8,30
3,1,"9,3",24,9,33
4,1,10,8,6,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,6,7",4,8,12
2,1,"1,9,3",10,8,18
3,1,"2,8,5",20,9,29
4,1,4,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4,5",26,6,32
2,1,"10,9,3,2",26,10,36
3,1,"7,8",11,12,23
4,1,6,8,11,19
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4,8",29,13,42
2,1,"5,10,2",21,14,35
3,1,"6,9,3",23,14,37
4,1,7,8,1,9
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,6,9,10",9,7,16
2,1,"7,8,4,1",15,8,23
3,1,"2,5",15,2,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,6",10,6,16
2,1,"5,2,9",14,9,23
3,1,"4,3,1",19,8,27
4,1,"7,8",19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,9,10",13,10,23
2,1,"6,4,2",12,12,24
3,1,"8,3,5",18,14,32
4,1,1,8,6,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,10",7,9,16
2,1,"8,7,2",17,9,26
3,1,"1,9,6",17,8,25
4,1,"4,5",17,8,25
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,6,10",13,6,19
2,1,"9,8,7,1",26,9,35
3,1,"4,5",20,8,28
4,1,2,8,8,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,8,2",29,4,33
2,1,"7,3,9",17,8,25
3,1,"4,10,5",28,7,35
4,1,6,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,9,8,10",22,14,36
2,1,"7,1,3,6",21,14,35
3,1,"5,2",17,10,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,2",3,14,17
2,1,"1,5,7,3",28,10,38
3,1,"10,9,6",14,13,27
4,1,4,8,13,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,8,5",19,5,24
2,1,"2,9,10,6",19,8,27
3,1,"7,3",14,9,23
4,1,4,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,4,10",6,8,14
2,1,"6,7,8",14,9,23
3,1,"9,3,2",11,6,17
4,1,5,8,9,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,3,7,5",19,10,29
2,1,"6,8,9,10",17,11,28
3,1,"2,4",13,14,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,2,4",17,9,26
2,1,"7,3,1",16,14,30
3,1,"10,8,5",18,5,23
4,1,9,8,10,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4,8,10",23,8,31
2,1,"9,5,1,7",24,7,31
3,1,"3,6",27,8,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,6",12,9,21
2,1,"9,4,8",23,9,32
3,1,"5,1,7",21,4,25
4,1,3,8,5,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,10,4",28,12,40
2,1,"5,2,8,6",22,9,31
3,1,"9,7",15,9,24
4,1,3,8,12,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,6",21,13,34
2,1,"1,7,2",28,12,40
3,1,"10,9,8",21,13,34
4,1,5,8,4,12
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,3,7",19,8,27
2,1,"2,5,4,8",19,5,24
3,1,"1,9",17,9,26
4,1,10,8,9,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1,7",13,7,20
2,1,"4,2,10",15,9,24
3,1,"9,5,6",12,9,21
4,1,8,8,8,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,2,10",10,12,22
2,1,"8,5,9,4",18,7,25
3,1,"6,7",13,13,26
4,1,3,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,8",3,14,17
2,1,"10,4,9",19,14,33
3,1,"5,3,6",17,9,26
4,1,"2,7",13,3,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1,5,3",18,9,27
2,1,"2,4,7,8",22,9,31
3,1,"6,10",24,9,33
machine,batch,jobs,starting time,processing time,completion time
1,1,"8,2,6",13,9,22
2,1,"10,3,5",26,7,33
3,1,"7,4,1",23,8,31
4,1,9,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,5,2",13,3,16
2,1,"8,1,10,9",27,13,40
3,1,"3,4",26,10,36
4,1,6,8,8,16
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,3,2",13,14,27
2,1,"1,8,9",17,11,28
3,1,"10,4,7",25,13,38
4,1,6,8,9,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2,5,8",18,8,26
2,1,"1,9,10,7",17,5,22
3,1,"4,6",14,4,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,2,1",15,8,23
2,1,"8,6,4,5",14,5,19
3,1,"10,9",7,6,13
4,1,7,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5,8",6,10,16
2,1,"2,9,10,4",18,13,31
3,1,"3,7",19,7,26
4,1,6,8,12,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6,8",14,13,27
2,1,"1,7,9",18,14,32
3,1,"2,10,5",15,10,25
4,1,3,8,6,14
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,4,6",26,7,33
2,1,"3,2,1,5",25,9,34
3,1,"8,9",25,8,33
4,1,7,8,1,9
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,1,4",28,9,37
2,1,"8,7,5",22,6,28
3,1,"2,9,10",19,8,27
4,1,6,8,9,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,4,7",28,9,37
2,1,"9,1,2,5",29,13,42
3,1,"10,8",22,14,36
4,1,6,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"3,9,8",6,13,19
2,1,"4,2,5",17,14,31
3,1,"1,10,6",27,12,39
4,1,7,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,3,10",19,6,25
2,1,"4,2,1,6",17,9,26
3,1,"8,5",12,7,19
4,1,9,8,5,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,1,6",16,9,25
2,1,"9,7,3,8",19,7,26
3,1,"2,4",19,6,25
4,1,5,8,5,13
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,7,10",16,8,24
2,1,"4,9,5,6",17,11,28
3,1,"3,8",12,7,19
4,1,1,8,10,18
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1",6,14,20
2,1,"9,2,6,8",18,14,32
3,1,"7,5,3",19,13,32
4,1,10,8,5,13
machine,batch,jobs,starting time,processing time,completion time
